Name of File;Source;Year of Production;Name;Resposible
0060_Bazhanov;OralHistory;1968;Бажанов;Наумов Александр;
032_Ardov;OralHistory;1967;Ардов;Наумов Александр;
0386_Ardov;OralHistory;1974;Ардов;Наумов Александр;
0489_Timofeev_Resovsky;OralHistory;1975;TimofeevResovsky.;Наумов Александр;
0489_Timofeev_Resovsky;OralHistory;;;Наумов Александр;
0783_Yushkevich;OralHistory;1980;Юшкевич;Наумов Александр;
0834_Yushkevich;OralHistory;1982;Юшкевич;Наумов Александр;
1409_Golts;OralHistory;;;Наумов Александр;
1409_Golts;OralHistory;;;Наумов Александр;
1410_Sokolov;OralHistory;;;Наумов Александр;
1410_Sokolov;OralHistory;;;Наумов Александр;
1411_Severtseva;OralHistory;;;Наумов Александр;
1412_Oyzerman;OralHistory;;;Наумов Александр;
1412_Oyzerman;OralHistory;;;Наумов Александр;
1415_Severtseva;OralHistory;;;Наумов Александр;
1415_Severtseva;OralHistory;;;Наумов Александр;
1416_Sarabjanov;OralHistory;;;Наумов Александр;
1416_Sarabjanov;OralHistory;;;Наумов Александр;
1421_Sarabjanov;OralHistory;;;Наумов Александр;
1421_Sarabjanov;OralHistory;;;Наумов Александр;
1421_Sarabjanov;OralHistory;2012;Сарабьянов;Наумов Александр;
1422_Kapto;OralHistory;;;Наумов Александр;
1422_Kapto;OralHistory;;;Наумов Александр;
1428_Lukyanov;OralHistory;;;Наумов Александр;
1428_Lukyanov;OralHistory;;;Наумов Александр;
1430_Pentin;OralHistory;;;Наумов Александр;
1430_Pentin;OralHistory;2012;Pentin;Наумов Александр;
1431_Zolotov;OralHistory;;;Наумов Александр;
1431_Zolotov;OralHistory;;;Наумов Александр;
1432_Damaskin;OralHistory;;;Наумов Александр;
1432_Damaskin;OralHistory;;;Наумов Александр;
1433_Zolotov;OralHistory;;;Наумов Александр;
1435_Zezin;OralHistory;;;Наумов Александр;
1436_Minushev;OralHistory;;;Наумов Александр;
1437_Rozin;OralHistory;;;Наумов Александр;
1437_Rozin;OralHistory;;;Наумов Александр;
1438_Arshinov;OralHistory;;;Наумов Александр;
1438_Arshinov;OralHistory;;;Наумов Александр;
1439_Zezin;OralHistory;;;Наумов Александр;
1439_Zezin;OralHistory;;;Наумов Александр;
143_Lusternik;OralHistory;1970;Люстерник;Наумов Александр;
1440_Mezhuev;OralHistory;;;Наумов Александр;
1441_Rozin;OralHistory;;;Наумов Александр;
1442_Arshinov;OralHistory;2001;Arshinov;Наумов Александр;
1443_Mezhuev;OralHistory;1962;Mezhuev;Наумов Александр;
1443_Mezhuev;OralHistory;1933;Mezhuev;Наумов Александр;
1444_Zezin;OralHistory;;;Наумов Александр;
1444_Zezin;OralHistory;;;Наумов Александр;
1445_Kapto;OralHistory;;;Наумов Александр;
